,state,vmt_arterial_rural,date,vmt_arterial_urban,vmt_all
137,Oklahoma,950.0,2003-12-01 00:00:00,1312.0,3393.0
138,Tennessee,1711.0,2003-12-01 00:00:00,2393.0,5491.0
139,Texas,4231.0,2003-12-01 00:00:00,9709.0,18172.0
140,Alaska,83.0,2003-12-01 00:00:00,131.0,340.0
141,Arizona,1079.0,2003-12-01 00:00:00,2298.0,4548.0
142,California,4433.0,2003-12-01 00:00:00,19985.0,29626.0
143,Colorado,948.0,2003-12-01 00:00:00,1736.0,3392.0
144,Hawaii,143.0,2003-12-01 00:00:00,424.0,839.0
145,Idaho,380.0,2003-12-01 00:00:00,311.0,1076.0
146,Montana,440.0,2003-12-01 00:00:00,136.0,856.0
147,Nevada,348.0,2003-12-01 00:00:00,812.0,1553.0
148,New Mexico,770.0,2003-12-01 00:00:00,549.0,1949.0
149,Oregon,890.0,2003-12-01 00:00:00,1038.0,2665.0
150,Utah,496.0,2003-12-01 00:00:00,867.0,1878.0
151,Washington,840.0,2003-12-01 00:00:00,2309.0,4159.0
152,Wyoming,313.0,2003-12-01 00:00:00,98.0,622.0
153,Connecticut,124.0,2003-02-01 00:00:00,1516.0,2073.0
154,Maine,414.0,2003-02-01 00:00:00,205.0,996.0
155,Massachusetts,445.0,2003-02-01 00:00:00,2475.0,3756.0
156,New Hampshire,322.0,2003-02-01 00:00:00,297.0,863.0
157,New Jersey,564.0,2003-02-01 00:00:00,2983.0,4631.0
158,New York,1164.0,2003-02-01 00:00:00,5111.0,9186.0
159,Pennsylvania,1901.0,2003-02-01 00:00:00,3031.0,6761.0
160,Rhode Island,48.0,2003-02-01 00:00:00,401.0,522.0
161,Vermont,222.0,2003-02-01 00:00:00,88.0,627.0
162,Delaware,126.0,2003-02-01 00:00:00,224.0,512.0
163,District of Columbia,0.0,2003-02-01 00:00:00,199.0,258.0
164,Florida,2522.0,2003-02-01 00:00:00,6324.0,13681.0
165,Georgia,2128.0,2003-02-01 00:00:00,3459.0,8154.0
166,Maryland,739.0,2003-02-01 00:00:00,2120.0,3563.0
167,North Carolina,1771.0,2003-02-01 00:00:00,2341.0,6656.0
168,South Carolina,1485.0,2003-02-01 00:00:00,1083.0,3582.0
169,Virginia,1546.0,2003-02-01 00:00:00,2385.0,5088.0
170,West Virginia,492.0,2003-02-01 00:00:00,226.0,1064.0
171,Illinois,1440.0,2003-02-01 00:00:00,4059.0,7385.0
172,Indiana,1214.0,2003-02-01 00:00:00,1930.0,4962.0
173,Iowa,867.0,2003-02-01 00:00:00,618.0,2044.0
174,Kansas,728.0,2003-02-01 00:00:00,764.0,2003.0
175,Michigan,1585.0,2003-02-01 00:00:00,3823.0,7247.0
176,Minnesota,1149.0,2003-02-01 00:00:00,1591.0,3766.0
177,Missouri,1193.0,2003-02-01 00:00:00,1831.0,4382.0
178,Nebraska,538.0,2003-02-01 00:00:00,410.0,1241.0
179,North Dakota,227.0,2003-02-01 00:00:00,91.0,467.0
180,Ohio,1513.0,2003-02-01 00:00:00,3416.0,7317.0
181,South Dakota,304.0,2003-02-01 00:00:00,116.0,554.0
182,Wisconsin,1327.0,2003-02-01 00:00:00,1386.0,3936.0
183,Alabama,1195.0,2003-02-01 00:00:00,1451.0,4299.0
184,Arkansas,775.0,2003-02-01 00:00:00,607.0,1921.0
185,Kentucky,964.0,2003-02-01 00:00:00,1074.0,3053.0
186,Louisiana,867.0,2003-02-01 00:00:00,1246.0,3034.0
